26       105
Alban    010010010001001001010100100010010110010100101001001101000001101001010001001000110001010010010100100100010
Lithu    010010000010100101001100001100010100110101000101001100001001101001010001000100110001010010001101000001010
Irish    001010000101001001010100100001011010010101001001001101000001100110000101000010100011010010010100010010001
Corni    001010000100101001010100100010010101010101001001001100010001101001010001000100110000110010010100010010001
Engli    001010010001001000110100010100010110010100101001001100001010101001001001001000110001010010001100010010010
Dutch    001010010001001000110100100010010101010100101001001100001001101001001001001000100101010010001100100010010
Germa    001010001000101000110100100010010101010100101001001100001001101001001001001000100101010010001100001010010
Norwe    001010001001001000110100010100010101010100101001001100001001101001001001001000110001010010001100100100010
Icela    001010000100101000110100100010010101010101000101001100001001101001001001000100110001010010001101000100010
Swedi    001010001001001000110100001100010101010100101001001100001010101001001001001000110001010010001100100100010
Hindi    100001000010011001010001001100010100110011000011001101000001101000110001000010101000110001001100100001010
Marat    010000100010011001010100001100010100110011001001001100100001101001010001000010101000110001001101000001010
Benga    010010000010100101010010010100010101010101000010101100010001101001000101000100101001010010001101000001010
Pasht    010010000010010110001010001100010101010011000101001100100001101001010001000100101000110001001101000001010
Persi    001010000100101001001100100100010101010101001000011100001001101010010000011000101000100110010100010000110
Catal    001010001000101010010100100100010101010101001000101100010001101001010001001000110001001010010100010010010
Frenc    001010001001001001010100100010010101010101001001001100001001101001001000101000110001010010010100010010010
Itali    001010001001001010010100100100010101010101001001001100010001101001010001001000110001010010010100010010010
Portu    001010001001001001010100100010010101010101001001001100010001101001010001001000110001010010010100001010010
Spani    000110001000101000110100100001011001010101001001001100010001101010010001001000110001010010010100100010010
Bulga    001010001000101001010100010010010101010100101001001100100001101001010001000100110001010010001101000010010
Czech    001010000010100100101100010100010100110101000100101100001001101001010001001000110000101010001101000001010
Polis    010010000010100101010100100100010101010101000011001100001001101001000011001000110001010010001101000001010
Russi    001010000010100101010100100100010101010101000101001100001001101001001001000010110001010010001101000001010
Haiti    100010001001001001010010001010010110001100010101001010001100110001001000101001010001001000110100010010001
Srana    100010001001001010010100001100101010001100011001001010001100110010001001001001010001010010001010010010001
